Year,Region,group_12,group_13,group_16,group_17,Value
2015,,,,,,2.1
2016,,,,,,1.7
2017,,,,,,1.9
2018,,,,,,1.9
2019,,,,,,2.5
2020,,,,,,3.3
2021,,,,,,4.3
2022,,,,,,
2023,,,,,,
2024,,,,,,
2015,Ukraine,,,,,2.1
2016,Ukraine,,,,,1.7
2017,Ukraine,,,,,1.9
2018,Ukraine,,,,,1.9
2019,Ukraine,,,,,2.5
2020,Ukraine,,,,,3.3
2021,Ukraine,,,,,4.3
2022,Ukraine,,,,,
2023,Ukraine,,,,,
2024,Ukraine,,,,,
2015,autonomous_Republic_of_Crimea,,,,,
2016,autonomous_Republic_of_Crimea,,,,,
2017,autonomous_Republic_of_Crimea,,,,,
2018,autonomous_Republic_of_Crimea,,,,,
2019,autonomous_Republic_of_Crimea,,,,,
2020,autonomous_Republic_of_Crimea,,,,,
2021,autonomous_Republic_of_Crimea,,,,,
2022,autonomous_Republic_of_Crimea,,,,,
2023,autonomous_Republic_of_Crimea,,,,,
2024,autonomous_Republic_of_Crimea,,,,,
2015,11_reg_Vinnytsya,,,,,1.9
2016,11_reg_Vinnytsya,,,,,1.5
2017,11_reg_Vinnytsya,,,,,3.5
2018,11_reg_Vinnytsya,,,,,3.1
2019,11_reg_Vinnytsya,,,,,1.7
2020,11_reg_Vinnytsya,,,,,4.4
2021,11_reg_Vinnytsya,,,,,4.2
2022,11_reg_Vinnytsya,,,,,
2023,11_reg_Vinnytsya,,,,,
2024,11_reg_Vinnytsya,,,,,
2015,12_reg_Volyn,,,,,0.0
2016,12_reg_Volyn,,,,,1.3
2017,12_reg_Volyn,,,,,0.4
2018,12_reg_Volyn,,,,,0.7
2019,12_reg_Volyn,,,,,1.5
2020,12_reg_Volyn,,,,,1.5
2021,12_reg_Volyn,,,,,3.2
2022,12_reg_Volyn,,,,,
2023,12_reg_Volyn,,,,,
2024,12_reg_Volyn,,,,,
2015,13_reg_Dnipropetrovsk,,,,,1.7
2016,13_reg_Dnipropetrovsk,,,,,1.7
2017,13_reg_Dnipropetrovsk,,,,,3.3
2018,13_reg_Dnipropetrovsk,,,,,1.6
2019,13_reg_Dnipropetrovsk,,,,,5.0
2020,13_reg_Dnipropetrovsk,,,,,4.0
2021,13_reg_Dnipropetrovsk,,,,,6.7
2022,13_reg_Dnipropetrovsk,,,,,
2023,13_reg_Dnipropetrovsk,,,,,
2024,13_reg_Dnipropetrovsk,,,,,
2015,14_reg_Donetsk,,,,,0.9
2016,14_reg_Donetsk,,,,,1.9
2017,14_reg_Donetsk,,,,,2.3
2018,14_reg_Donetsk,,,,,1.1
2019,14_reg_Donetsk,,,,,3.5
2020,14_reg_Donetsk,,,,,6.6
2021,14_reg_Donetsk,,,,,2.6
2022,14_reg_Donetsk,,,,,
2023,14_reg_Donetsk,,,,,
2024,14_reg_Donetsk,,,,,
2015,15_reg_Zhytomyr,,,,,5.2
2016,15_reg_Zhytomyr,,,,,3.5
2017,15_reg_Zhytomyr,,,,,2.0
2018,15_reg_Zhytomyr,,,,,6.6
2019,15_reg_Zhytomyr,,,,,2.2
2020,15_reg_Zhytomyr,,,,,4.6
2021,15_reg_Zhytomyr,,,,,5.7
2022,15_reg_Zhytomyr,,,,,
2023,15_reg_Zhytomyr,,,,,
2024,15_reg_Zhytomyr,,,,,
2015,16_reg_Zakarpattya,,,,,0.1
2016,16_reg_Zakarpattya,,,,,0.0
2017,16_reg_Zakarpattya,,,,,0.0
2018,16_reg_Zakarpattya,,,,,1.0
2019,16_reg_Zakarpattya,,,,,1.3
2020,16_reg_Zakarpattya,,,,,0.0
2021,16_reg_Zakarpattya,,,,,1.4
2022,16_reg_Zakarpattya,,,,,
2023,16_reg_Zakarpattya,,,,,
2024,16_reg_Zakarpattya,,,,,
2015,17_reg_Zaporizhzhya,,,,,1.6
2016,17_reg_Zaporizhzhya,,,,,0.7
2017,17_reg_Zaporizhzhya,,,,,1.8
2018,17_reg_Zaporizhzhya,,,,,2.0
2019,17_reg_Zaporizhzhya,,,,,1.8
2020,17_reg_Zaporizhzhya,,,,,1.4
2021,17_reg_Zaporizhzhya,,,,,2.4
2022,17_reg_Zaporizhzhya,,,,,
2023,17_reg_Zaporizhzhya,,,,,
2024,17_reg_Zaporizhzhya,,,,,
2015,18_reg_Ivano-Frankivsk,,,,,2.2
2016,18_reg_Ivano-Frankivsk,,,,,1.0
2017,18_reg_Ivano-Frankivsk,,,,,0.0
2018,18_reg_Ivano-Frankivsk,,,,,0.0
2019,18_reg_Ivano-Frankivsk,,,,,2.6
2020,18_reg_Ivano-Frankivsk,,,,,2.9
2021,18_reg_Ivano-Frankivsk,,,,,0.7
2022,18_reg_Ivano-Frankivsk,,,,,
2023,18_reg_Ivano-Frankivsk,,,,,
2024,18_reg_Ivano-Frankivsk,,,,,
2015,19_reg_Kyiv,,,,,0.5
2016,19_reg_Kyiv,,,,,0.5
2017,19_reg_Kyiv,,,,,0.9
2018,19_reg_Kyiv,,,,,3.1
2019,19_reg_Kyiv,,,,,0.0
2020,19_reg_Kyiv,,,,,1.1
2021,19_reg_Kyiv,,,,,5.7
2022,19_reg_Kyiv,,,,,
2023,19_reg_Kyiv,,,,,
2024,19_reg_Kyiv,,,,,
2015,20_reg_Kirovohrad,,,,,0.5
2016,20_reg_Kirovohrad,,,,,0.8
2017,20_reg_Kirovohrad,,,,,2.5
2018,20_reg_Kirovohrad,,,,,0.0
2019,20_reg_Kirovohrad,,,,,0.5
2020,20_reg_Kirovohrad,,,,,2.0
2021,20_reg_Kirovohrad,,,,,0.5
2022,20_reg_Kirovohrad,,,,,
2023,20_reg_Kirovohrad,,,,,
2024,20_reg_Kirovohrad,,,,,
2015,21_reg_Luhansk,,,,,2.5
2016,21_reg_Luhansk,,,,,2.8
2017,21_reg_Luhansk,,,,,2.1
2018,21_reg_Luhansk,,,,,1.4
2019,21_reg_Luhansk,,,,,4.6
2020,21_reg_Luhansk,,,,,4.6
2021,21_reg_Luhansk,,,,,5.6
2022,21_reg_Luhansk,,,,,
2023,21_reg_Luhansk,,,,,
2024,21_reg_Luhansk,,,,,
2015,22_reg_Lviv,,,,,2.0
2016,22_reg_Lviv,,,,,1.3
2017,22_reg_Lviv,,,,,1.0
2018,22_reg_Lviv,,,,,0.3
2019,22_reg_Lviv,,,,,0.8
2020,22_reg_Lviv,,,,,2.6
2021,22_reg_Lviv,,,,,5.0
2022,22_reg_Lviv,,,,,
2023,22_reg_Lviv,,,,,
2024,22_reg_Lviv,,,,,
2015,23_reg_Mykolayiv,,,,,3.9
2016,23_reg_Mykolayiv,,,,,3.0
2017,23_reg_Mykolayiv,,,,,0.0
2018,23_reg_Mykolayiv,,,,,0.5
2019,23_reg_Mykolayiv,,,,,2.0
2020,23_reg_Mykolayiv,,,,,2.7
2021,23_reg_Mykolayiv,,,,,3.8
2022,23_reg_Mykolayiv,,,,,
2023,23_reg_Mykolayiv,,,,,
2024,23_reg_Mykolayiv,,,,,
2015,24_reg_Odesa,,,,,3.9
2016,24_reg_Odesa,,,,,1.9
2017,24_reg_Odesa,,,,,1.6
2018,24_reg_Odesa,,,,,1.6
2019,24_reg_Odesa,,,,,1.8
2020,24_reg_Odesa,,,,,6.7
2021,24_reg_Odesa,,,,,8.7
2022,24_reg_Odesa,,,,,
2023,24_reg_Odesa,,,,,
2024,24_reg_Odesa,,,,,
2015,25_reg_Poltava,,,,,0.5
2016,25_reg_Poltava,,,,,2.0
2017,25_reg_Poltava,,,,,3.3
2018,25_reg_Poltava,,,,,0.9
2019,25_reg_Poltava,,,,,0.9
2020,25_reg_Poltava,,,,,1.6
2021,25_reg_Poltava,,,,,1.7
2022,25_reg_Poltava,,,,,
2023,25_reg_Poltava,,,,,
2024,25_reg_Poltava,,,,,
2015,26_reg_Rivne,,,,,0.3
2016,26_reg_Rivne,,,,,0.9
2017,26_reg_Rivne,,,,,1.1
2018,26_reg_Rivne,,,,,2.9
2019,26_reg_Rivne,,,,,0.3
2020,26_reg_Rivne,,,,,0.8
2021,26_reg_Rivne,,,,,0.2
2022,26_reg_Rivne,,,,,
2023,26_reg_Rivne,,,,,
2024,26_reg_Rivne,,,,,
2015,27_reg_Sumy,,,,,0.4
2016,27_reg_Sumy,,,,,0.1
2017,27_reg_Sumy,,,,,0.0
2018,27_reg_Sumy,,,,,0.2
2019,27_reg_Sumy,,,,,0.7
2020,27_reg_Sumy,,,,,0.1
2021,27_reg_Sumy,,,,,0.0
2022,27_reg_Sumy,,,,,
2023,27_reg_Sumy,,,,,
2024,27_reg_Sumy,,,,,
2015,28_reg_Ternopil,,,,,0.7
2016,28_reg_Ternopil,,,,,1.4
2017,28_reg_Ternopil,,,,,0.5
2018,28_reg_Ternopil,,,,,2.0
2019,28_reg_Ternopil,,,,,3.6
2020,28_reg_Ternopil,,,,,3.7
2021,28_reg_Ternopil,,,,,1.0
2022,28_reg_Ternopil,,,,,
2023,28_reg_Ternopil,,,,,
2024,28_reg_Ternopil,,,,,
2015,29_reg_Kharkiv,,,,,2.2
2016,29_reg_Kharkiv,,,,,2.2
2017,29_reg_Kharkiv,,,,,0.7
2018,29_reg_Kharkiv,,,,,1.2
2019,29_reg_Kharkiv,,,,,1.7
